,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
33,,19_20한국관광100선,21_22한국관광100선,가족여행,걷기여행,공원,관광지,나들이,데이트장소추천,도심공원,바다,산책하기좋은곳,센트럴파크,수도권,야간관광100선,언택트관광지_100선,연인과함께,연인과함께,이국적인풍경,인천가볼만한곳,자전거여행,조깅,주말나들이,커플데이트,한국관광100선,해수공원 ,,,,,,
34,,가족여행,경상권,기차여행,남해가볼만한곳,남해미술관,문화시설,미술관,바람흔적미술관,실내여행지,아이와함께,힐링 ,,,,,,,,,,,,,,,,,,,,
35,,거제가볼만한곳,거제관광,경상권,관광지,매미성,바다,이국적인풍경,자연,해안산책 ,,,,,,,,,,,,,,,,,,,,,,
36,,가볼만한곳,가족과함게,가족과함께,관광지,남녀노소,사진찍기좋은곳,산책,산책코스,소풍공원,수변공원,습지공원,아이와함께,언택트관광지_100선,자연속힐링여행,자연체험,주말나들이,캠핑장소,평택시,피크닉,힐링,힐링여행 ,,,,,,,,,,
37,,2021대한민국안심여행캠페인,21_22한국관광100선,가족여행,관광지,나들이,데이트코스,방역우수관광지,산림욕장,아이와함께,안심관광지,안심충청권여행,언택트관광지_100선,연인과함께,자연,자연좋은곳,장태산자연휴양림,주말추천여행지,체험학습,충청권,친구와함께,한국관광100선,휴양림,힐링 ,,,,,,,,
38,,19_20한국관광100선,21_22한국관광100선,가족여행,관광지,산책길,산책하기,산책하기좋은곳,아이와함께,역사공부,역사속으로,역사이야기,자연좋은곳,자연환경,청남대,충청권,한국관광100선,힐링 ,,,,,,,,,,,,,,
39,,가족여행,관광지,사계절,수도권,숲체험원,언택트관광지_100선,자연,자연&숲치유,자연좋은곳,잣향기푸른숲,친환경여행,캠핑&글램핑,힐링,힐링&휴양여행 ,,,,,,,,,,,,,,,,,
40,,2011,2021대한민국안심여행캠페인,21_22한국관광100선,가족여행,걷기길,관광지,방역우수관광지,생태관광,생태관광지,수상내역,순천만습지,순천만자연생태공원,안심관광지,안심전라권여행,자연,자연좋은곳,장애물없는 관광환경 우수시설 부문,전라권,전망좋은곳,친환경여행,한국관광100선,한국관광의별 ,,,,,,,,,
41,,19_20한국관광100선,2021대한민국안심여행캠페인,21_22한국관광100선,가족여행,가족체험여행,관광지,방역우수관광지,성산일출봉,성산일출봉,아이와함께,안심관광지,안심제주권여행,연인과함께,유네스코세계문화유산,일출명소,일출일몰명소,자연,자연좋은곳,전망좋은곳,제주,제주권,제주도_가볼만한곳,제주도가볼만한곳,제주도여행,친구와함께,한국관광100선 ,,,,,
42,,19_20한국관광100선,가족여행,경남,경상권,관광지,데이트장소추천,사진찍기좋은곳,산책하기좋은곳,외도보타니아,자연환경,한국관광100선,휴식여행,휴식하기좋은곳 ,,,,,,,,,,,,,,,,,,
43,,21_22한국관광100선,강원권,강원도_여행지_추천,관광지,남이섬,드라마촬영지,영화촬영지,자연좋은곳,자연환경,한국관광100선,휴식하기좋은곳,힐링산책 ,,,,,,,,,,,,,,,,,,,
44,,가족과함께,관광지,국내힐링여행,남녀노소,언택트관광지_100선,연인과함께,자연관광지,자연좋은곳,자연환경,휴식여행,휴식처,휴식하기,휴식하기좋은곳 ,,,,,,,,,,,,,,,,,,
45,,2021_휴가철찾아가고싶은_33섬,가족과함께,강화가볼만한곳,강화도여행,관광지,교동도,시간이멈춘섬,아이와함께,언택트관광지_100선,자연,자연마을,자연좋은곳,자연환경,휴식여행,휴식하기좋은곳,힐링여행 ,,,,,,,,,,,,,,,
46,,15_16한국관광100선,17_18한국관광100선,19_20한국관광100선,21_22한국관광100선,가족여행,경복궁,고궁,관광지,교과서속여행,당일치기여행,서울,서울근교여행,서울여행,서울여행코스,수도권,아이와함께,역사,역사유적지,연인과함께,인생샷,전통역사문화체험,종로,종로가볼만한곳,친구와함께,한국관광100선 ,,,,,,
47,,19_20한국관광100선,21_22한국관광100선,가족여행,관광지,궁남지,백제문화,백제여행,부여궁남지,부여백제유적지,서동공원,서동공원과궁남지,아이와함께,야간관광100선,연꽃,연인과함께,자연,전통&역사문화체험,충청권,친구와함께,한국관광100선 ,,,,,,,,,,,
48,,가족과함께,경치여행,경치좋은곳,관광지,등기산,등기산공원,등기산스카이워크,바다경치,바다내음,산책코스,스카이워크,언택트관광지_100선,연인과함께,휴식공간,휴식여행,휴식하기좋은곳 ,,,,,,,,,,,,,,,
49,,경상권,관광지,불교,불교문화,불교사찰,사찰,사찰여행,역사,오어사,자연속으로,자연환경,한국불교,휴식공간,휴식여행,휴식하기,휴식하기좋은곳 ,,,,,,,,,,,,,,,
50,,가족여행,가족휴양,경북팔경,경상권,경치좋은곳,관광지,문경가볼만한곳,언택트관광지_100선,자연,진남교반,힐링 ,,,,,,,,,,,,,,,,,,,,
51,,21_22한국관광100선,가족여행,관광지,드라마촬영지,생태관광지,수도권,양평두물머리,연중무휴,영화촬영지,자연,자연좋은곳,추천생태여행,친환경여행,한국관광100선 ,,,,,,,,,,,,,,,,,
52,,15_16한국관광100선,17_18한국관광100선,19_20한국관광100선,21_22한국관광100선,가족여행,감천문화마을,감천문화마을,경상권,경상권,관광지,부산,부산가볼만한곳,부산여행,연인과함께,인생샷,인생샷여행,전망좋은곳,체험,친구와함께,크리스마스,한국관광100선 ,,,,,,,,,,
53,,가족여행,강원권,레포츠,문화관광해설사,산책코스,언택트관광지_100선,주말여행 ,,,,,,,,,,,,,,,,,,,,,,,,
54,,19_20한국관광100선,2010,21_22한국관광100선,가족여행,관광시설 부문,관광지,미식여행,수상내역,슬로시티,역사,역사유적지,인생샷,전라권,전주한옥마을,전통가옥,한국관광100선,한국관광의별,한옥 ,,,,,,,,,,,,,
55,,,19_20한국관광100선,19_20한국관광100선,2021대한민국안심여행캠페인,21_22한국관광100선,경상권,관광지,교과서속여행,기차여행,나들이,데이트코스,독일마을,방역우수관광지,사진찍기좋은곳,아이와함께,안심경상권여행,안심관광지,연인과함께,이색체험,체험학습,친구와함께,한국관광100선,힐링 ,,,,,,,,
56,,레포츠,산책코스,산책하기좋은곳,언택트관광지_100선,자연,자연속으로,자연여행,자연좋은곳,자연풍경,자연환경,휴식공간,휴식여행,휴식하기,휴식하기좋은곳 ,,,,,,,,,,,,,,,,,
57,,남녀노소,레포츠,산책코스,언택트관광지_100선,역사이야기,자연속으로,자연좋은곳,자연환경,트레킹,트레킹코스,황학산수목원,힐링산책,힐링여행 ,,,,,,,,,,,,,,,,,,
58,,17_18한국관광100선,19_20한국관광100선,21_22한국관광100선,거제바람의언덕,경남,경상권,관광지,동백나무군락,동백나무숲길,동백터널,동백터널숲,드라마촬영지,바람의언덕,자연,한국관광100선 ,,,,,,,,,,,,,,,,
59,,15_16한국관광100선,17_18한국관광100선,19_20한국관광100선,가족여행,관광지,드라마촬영지,생태관광지,섭지코지,섭지코지,영화촬영지,자연,자연좋은곳,제주,제주권,제주권,제주도_가볼만한곳,한국관광100선,휴양여행,힐링,힐링여행 ,,,,,,,,,,,
60,,infp낭만여행,가족여행,경상권,관광지,봄꽃여행,산책하기,산책하기좋은곳,안동가볼만한곳,안동여행,야간,야간관람,야경,야경좋은곳,연인과함께,월영교,자연,힐링여행 ,,,,,,,,,,,,,,
61,,가족과함께,가족체험,관광지,농촌체험,농촌체험마을,농촌체험여행,농촌체험학습,농촌테마파크,아이와함께,자연마을,자연풍경,자연환경,체험 ,,,,,,,,,,,,,,,,,,
62,,가족여행,관광지,나들이,당일치기여행,등산로,서울근교여행,아이와함께,야간관광100선,역사,전통&역사문화체험,체험학습,친구와함께,행주산성 ,,,,,,,,,,,,,,,,,,
63,,2014,가족과함께,경상권,경치좋은곳,관광지,바다풍경,수상내역,아이와함께,이색체험,자연,장애물 없는 관광자원 부문,전망좋은곳,조망케이블카,케이블카,통영가볼만한곳,통영한려수도조망케이블카,한국관광의별,한려수도조망케이블카 ,,,,,,,,,,,,,
