,여행지,주소,상세페이지,이미지주소,위도 경도
31,황령산,부산 수영구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=52c22f66-eb3d-4a16-8455-692697868b3b,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=18e61c77-d7a2-475a-b1b4-34052f148a72,"35.1579341561, 129.0827285679"
32,다대포해수욕장,부산 사하구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9ac39dd9-4dfe-4dc0-866e-b3a98fd581c7,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=01866eb9-4b72-4a60-a892-d85b8c09a743,"35.0464195263, 128.9680332493"
33,아미르공원,부산 영도구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=098578f0-0c46-4d62-abf9-14d8b8d5149c,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74b41fe9-4c78-4af8-8040-677c197d42da,"35.076293196, 129.0774423702"
34,평화공원,부산 남구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e0ed82d6-c90c-4618-8c4b-05c5afa33dfb,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5ea7b7d4-5bdf-4e51-bd9b-d656a6f2741f,"35.1253214518, 129.0995779953"
35,회동수원지,밀양시,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=811921ac-72c0-4bd6-a239-3c3840b69fe7,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d679751a-ac20-4ee4-8d19-152b83320ea8,"35.5464759,128.7072436"
36,치유의 숲,부산 금정구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7eb8f2eb-64f9-4428-9416-2ad85623bff9,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=31206a8f-bf0e-4281-a8d0-531222e753e4,"35.2252550204, 129.116648768"
37,구덕야영장,부산 기장군,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c8694b54-aea9-4774-b738-f34024d611b4,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d47f8e4c-71e0-42cf-8a8a-7cefdf330291,"35.2690086937, 129.1298103057"
38,대저생태공원,부산 서구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7d4c881c-a326-46fe-9a86-307c1510dab0,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fa0a0f99-c44e-43aa-b730-899fc8e74485,"35.1255892096, 129.0097191372"
39,아차산,부산 강서구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=08631717-270b-4f47-81dc-118de3e709b5,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d0345a2f-cc91-41cd-af2e-1b007c94aebe,"35.2098737478, 128.984566247"
40,배봉산,서울 광진구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=735bfed5-2e1c-4c23-aafa-1ba026292c37,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c8d4fd3d-b30d-4996-9bc8-b5833f7c370d,"37.5529441189, 127.0998297997"
41,북정마을,서울 동대문구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=85abf749-25b0-4278-bda5-7ecdc36873c4,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd0eeda1-2484-4542-a244-e9801ce1e855,"37.5807819121, 127.0643739039"
42,안산(무악산),서울 성북구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=247967e0-3742-45bc-af25-e02cecf6784b,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b0f5eaba-3503-4a1b-93d1-0c59bd9e628b,"37.5929152943, 126.9910580174"
43,돈의문박물관마을,서울 서대문구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=173f639d-238f-428e-807d-56b7a722f418,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=88d3d8eb-9a8c-4af7-9f7c-39c126079c5e,"37.5772357314, 126.9447737923"
44,국립4.19민주묘지,서울 종로구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=94eece9c-a5c2-4f91-836b-38f34cc6dd84,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3f28b0d4-c70e-45c5-ab95-9fff857d3ccd,"37.5688843508, 126.9685551943"
45,평화문화진지,서울 강북구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=61ecf913-4f07-4c1a-a8b8-372404a049d0,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3bf6c5ee-4498-45ff-8352-04dbac54b5de,"37.6484480504, 127.0091159038"
46,서울함 공원,서울 도봉구,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c38c7a51-5b13-480a-856f-1ba0f0947287,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3f21efec-52e1-4fe2-8c34-369c5115d9d4,"37.6908326881, 127.046827922"
